Yes,Yes
No,No
"Comwrap Elasticsuite Blog Search","Comwrap Elasticsuite Blog Search"
"Is searchable","Utiliser dans la recherche"
"Setting","Configuration"
"Max result","Nombre de résultats maximum"
"Maximum number of results to display in result block.","Nombre maximum de résultats à afficher dans le bloc de résultats de recherche."
"Elasticsuite Blog Post Indexing","Indexer elasticsuite des post blog"
"Reindex Elasticsuite blog post.","Réindexation elasticsuite des post blog"
"Blog post","Blog post"
"Show more","Voir plus"
"News","News"
